"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"City Of Melton","Melton","VIC",3337,144.587738037109,-37.6822204589844,"Maternal, child and family health service","GP",15
"Portarlington Medical Centre","Portarlington","VIC",3223,144.649566650391,-38.1149139404297,"General practice service","GP",4
"Albury Wodonga Aboriginal Health Service - Wodonga Clinic","West Wodonga","VIC",3690,146.88675147,-36.12204972,"Aboriginal and Torres Strait Islander health service","GP",6
"Flagstaff Hill Medical Centre","Flagstaff Hill","SA",5159,138.587982177734,-35.0524711608887,"General practice service","GP",1
"Mcphillips Medical Group","Strathpine","QLD",4500,152.9900253,-27.30498352,"General practice service","GP",14
"Newdegate Medical Centre","East Newdegate","WA",6355,119.02238926,-33.09207297,"General practice service","GP",1
"Medical And Dental Centre Blunder Road Oxley","Oxley","QLD",4075,152.98302527,-27.5754707,"General practice service","GP",9
"Hampstead Health Family Practice","Lightsview","SA",5085,138.61884042,-34.8599394,"General practice service","GP",2
"Wuchopperen Health Service - Edmonton Clinic","Edmonton","QLD",4869,145.74382607,-17.01973152,"Aboriginal and Torres Strait Islander health service","GP",5
"Gosford Family Care Cottage","Gosford","NSW",2250,151.34295213,-33.42332814,"Maternal, child and family health service","GP",10
"Shalom Healthcare","Cranbourne","VIC",3977,145.288291355901,-38.1132522285531,"General practice service","GP",17
"Armadale Districts Surgery","Armadale","WA",6112,116.01451,-32.15581,"General practice service","GP",18
"Remote Territory Healthcare","Berry Springs","NT",838,131.01434788,-12.7026832,"Nurse practitioner led clinic","GP",2
"Lilydale Medical Centre","Lilydale","VIC",3140,145.355316162109,-37.7569694519043,"General practice service","GP",16
"Queen Street Medical Centre - Murwillumbah","Murwillumbah","NSW",2484,153.39916456,-28.32646424,"General practice service","GP",8
"St James Avenue Medical Centre","Springvale","VIC",3171,145.15026686,-37.95437621,"General practice service","GP",26
"Mylocaldoc Rocklea","Rocklea","QLD",4106,152.999913,-27.533865,"General practice service","GP",2
"Practice Of Dr Henry Sztulman","Point Frederick","NSW",2250,151.34167536,-33.44548116,"General practice service","GP",1
"Alpine Health - Rural Urgent Care Clinic - Bright","Bright","VIC",3741,146.96535012,-36.73228546,"Nurse led clinic","GP",6
"Mount Sheridan Medical Practice","Mount Sheridan","QLD",4868,145.74146019,-16.97863021,"General practice service","GP",4
"Beecroft General Practice","Beecroft","NSW",2119,151.06542675,-33.74869454,"General practice service","GP",5
"Ballarat Doctors","Wendouree","VIC",3355,143.81750784,-37.53554613,"General practice service","GP",9
"Nuvo Health Medical Centre Neutral Bay","Neutral Bay","NSW",2089,151.223831176758,-33.8309211730957,"General practice service","GP",11
"Palm Springs Medical Centre","Warnbro","WA",6169,115.76224,-32.3478,"General practice service","GP",4
"Racecourse Road Medical Practice","Hamilton","QLD",4007,153.064437866211,-27.4362506866455,"General practice service","GP",20
"South Wangaratta Medical Centre","Wangaratta","VIC",3677,146.308578491211,-36.377140045166,"General practice service","GP",19
"Burns Bay Medical Centre","Lane Cove","NSW",2066,151.157287597656,-33.8146629333496,"General practice service","GP",12
"Hyperdome Doctors & Skin Clinic","Shailer Park","QLD",4128,153.17161635,-27.65896402,"General practice service","GP",4
"Elysian Medical Centre","Bellara","QLD",4507,153.152069091796,-27.0650444030761,"General practice service","GP",3
"Brook Medical Centre","Muswellbrook","NSW",2333,150.890228271484,-32.263126373291,"General practice service","GP",7
"Brecken Health Mandurah","Mandurah","WA",6210,115.73817077,-32.53426662,"General practice service","GP",18
"Everwell Medical Centre - Moorabbin","Moorabbin","VIC",3189,145.03590378,-37.93376597,"General practice service","GP",7
"Ballarat Community Health - Wendouree","Wendouree","VIC",3355,143.835581,-37.54056,"General practice service","GP",9
"Maternal And Child Health Centre - Craigieburn - Aitken Hill Community Centre","Craigieburn","VIC",3064,144.90437358,-37.60205035,"Maternal, child and family health service","GP",30
"Hunt Club Family & Children's Centre","Cranbourne East","VIC",3977,145.30203995,-38.10436093,"Maternal, child and family health service","GP",6
"Watto Purrunna Aboriginal Health Service - Wonggangga Turtpandi","Port Adelaide","SA",5015,138.50321551,-34.84756929,"General practice service","GP",4
"Penrith Mall Medical Centre","Penrith","NSW",2750,150.69695322,-33.75319465,"General practice service","GP",27
"St Marys Medical Surgery","St Marys","NSW",2760,150.773941040039,-33.7649230957031,"General practice service","GP",23
"Hunter Medical Practice","Muswellbrook","NSW",2333,150.891693,-32.263422,"General practice service","GP",7
"Maternal And Child Health Centre - Epalock Cres St Albans","St Albans","VIC",3021,144.80592446,-37.761109,"Maternal, child and family health service","GP",27
"Harrington Family Medical Centre","Harrington","NSW",2427,152.690002441406,-31.8708343505859,"General practice service","GP",4
"Dr Trinh Cao Clinic","Springvale","VIC",3171,145.14952716,-37.95428353,"General practice service","GP",26
"Woodford Doctors","Woodford","QLD",4514,152.7781989,-26.95235868,"General practice service","GP",5
"Cooktown Medical Centre","Cooktown","QLD",4895,145.249938964844,-15.4692039489746,"General practice service","GP",4
"Grace Medical Care","Bateau Bay","NSW",2261,151.473327636719,-33.3760604858398,"General practice service","GP",6
"Ballarat Group Practice - Victoria St","Bakery Hill","VIC",3350,143.86725289,-37.56204862,"General practice service","GP",1
"Albany Clinic & Skin Screen","Albany Creek","QLD",4035,152.9698577,-27.34607358,"General practice skin cancer service","GP",10
"Brighton Regional Doctors","Brighton","TAS",7030,147.2541528,-42.69600322,"General practice service","GP",30
"Myhealth Robina","Robina","QLD",4226,153.387115478516,-28.0759086608887,"General practice service","GP",27
"Midway Medical Clinic","Elizabeth East","SA",5112,138.677353,-34.728767,"General practice service","GP",2
"The Village Medical Practice","Summer Hill","NSW",2130,151.13798836,-33.89205554,"General practice service","GP",3
"Karuah Medical Centre","Karuah","NSW",2324,151.962600708008,-32.6546440124512,"General practice service","GP",2
"Doomadgee Hospital","Doomadgee","QLD",4830,138.828656,-17.942308,"Aboriginal and Torres Strait Islander health service","GP",4
"Ochre Medical Centre Jamieson","Warrnambool","VIC",3280,142.497833958015,-38.3685252766226,"General practice service","GP",24
"Paddington Medical Centre And Travel Clinic","Paddington","QLD",4064,152.99762414,-27.45879101,"General practice service","GP",10
"Western Hospital Gp Clinic","Henley Beach","SA",5022,138.500183105469,-34.9105415344238,"General practice service","GP",4
"Denmark Family Practice","Denmark","WA",6333,117.355690002441,-34.9619865417481,"General practice service","GP",6
"Lakemba Medical Services","Lakemba","NSW",2195,151.077194213867,-33.9192085266113,"General practice service","GP",15
"Craigieburn Health Service","Craigieburn","VIC",3064,144.918930053711,-37.5962829589844,"Maternal, child and family health service","GP",30
"City Of Whittlesea - Maternal And Child Health - Galada","Epping","VIC",3076,145.006454467773,-37.6220855712891,"Maternal, child and family health service","GP",36
"Maternal & Child Health Centre - Merrigum","Merrigum","VIC",3618,145.13241703,-36.36937153,"Maternal, child and family health service","GP",1
"Skin Clinic Robina","Robina","QLD",4226,153.379898071289,-28.0742359161377,"General practice skin cancer service","GP",27
"The Women's Health Centre Southern Highlands","Mittagong","NSW",2575,150.44601627,-34.4512748,"General practice service","GP",9
"Edith Street Medicentre","Wynnum","QLD",4178,153.172729492188,-27.4458808898926,"General practice service","GP",11
"Wanneroo Total Health Care","Wanneroo","WA",6065,115.80744934082,-31.7585124969482,"General practice service","GP",8
"Central Highlands Community Health Centre","Ouse","TAS",7140,146.71701396,-42.48637114,"Maternal, child and family health service","GP",1
"Her Medical","Southport","QLD",4215,153.41298761,-27.98937791,"General practice service","GP",40
"Criniti Medical Practice","Hurstville","NSW",2220,151.106369018555,-33.9649505615234,"General practice service","GP",23
"Laverton Medical Centre","Laverton","VIC",3028,144.76068654,-37.86828979,"General practice service","GP",8
"Harar Medical Centre","Dandenong","VIC",3175,145.21649618,-37.97278264,"General practice service","GP",35
"Myhealth Garden City","Upper Mount Gravatt","QLD",4122,153.080993652344,-27.5610008239746,"General practice service","GP",11
"Tarneit Doctors","Tarneit","VIC",3029,144.66647198,-37.86097082,"General practice service","GP",15
"Mint Clinic","Collingwood","VIC",3066,144.98722707,-37.79876164,"General practice service","GP",12
"Maternal And Child Health Centre - Wodonga - Stanley Street","Wodonga","VIC",3690,146.885177612305,-36.1216812133789,"Maternal, child and family health service","GP",21
"Underwood Family Doctors","Underwood","QLD",4119,153.11025946,-27.60936032,"General practice service","GP",7
"Latrobe Family Medical Practice","Latrobe","TAS",7307,146.40783074,-41.23471926,"General practice service","GP",4
"Kuranda Medical Centre","Kuranda","QLD",4881,145.636627197266,-16.8198280334473,"General practice service","GP",2
"Wolli Creek Hub","Wolli Creek","NSW",2205,151.15241967,-33.93018204,"Maternal, child and family health service","GP",7
"Goulburn Health Hub Medical Centre","Goulburn","NSW",2580,149.743438720703,-34.7313652038574,"General practice skin cancer service","GP",13
"Maternal And Child Health Centre - Ashburton","Ashburton","VIC",3147,145.08498503,-37.86700682,"Maternal, child and family health service","GP",9
"Mundubbera Medical Centre","Mundubbera","QLD",4626,151.294281005859,-25.5884017944336,"General practice service","GP",4
"Maroubra Cosmetic & Skin Cancer Clinic","Maroubra","NSW",2035,151.23974617,-33.94137507,"General practice skin cancer service","GP",19
"Racecourse Road Health Centre","Ascot","QLD",4007,153.06556691,-27.43350472,"General practice service","GP",5
"Rosedale Community Health Centre","Rosedale","VIC",3847,146.78750882,-38.15452453,"Maternal, child and family health service","GP",2
"Dr E.k.lee","Leichhardt","NSW",2040,151.149628493241,-33.8848233935107,"General practice service","GP",17
"Maternal & Child Health Centre - Geelong","Geelong","VIC",3220,144.36721966,-38.15650577,"Maternal, child and family health service","GP",24
"Beaches Medical And Cosmetic Centre","Dee Why","NSW",2099,151.28372412,-33.75416487,"General practice service","GP",14
"Sapphire Family Medical Practice","Bondi Junction","NSW",2022,151.2504769,-33.89538423,"General practice service","GP",27
"Jackson Court Clinic","Doncaster East","VIC",3109,145.14855544,-37.78888741,"General practice service","GP",19
"Oak Valley Health Clinic","Oak Valley","SA",5690,130.738998413086,-29.3990001678467,"Aboriginal and Torres Strait Islander health service","GP",1
"Panania Family Doctors","Panania","NSW",2213,150.99863723,-33.95511503,"General practice service","GP",8
"Sutherland Medical Centre","Sutherland","NSW",2232,151.057647705078,-34.0324516296387,"General practice service","GP",6
"Home Nursing Group - Coffs Harbour","Coffs Harbour","NSW",2450,153.1132541,-30.29614621,"Nurse led clinic","GP",26
"Lomond Crescent Medical Practice","Winston Hills","NSW",2153,150.98050164,-33.78103125,"General practice service","GP",6
"Bridgeside Medical Centre","The Rocks","NSW",2000,151.20596384,-33.86231831,"General practice service","GP",1
"Bay Street Family Medical Centre","Brighton","VIC",3186,145.007904052734,-37.9066963195801,"General practice service","GP",30
"Camden Central Family Practice","Camden","NSW",2570,150.696716308594,-34.0554924011231,"General practice service","GP",11
"Thompson Road Clinic","Cranbourne North","VIC",3977,145.279586791992,-38.0821151733398,"General practice service","GP",8
"Health Matters - Karalee","Chuwar","QLD",4306,152.794677734375,-27.5711841583252,"General practice service","GP",2
"Howard Springs Medical Centre","Howard Springs","NT",835,131.04391535,-12.49673501,"General practice service","GP",1
"Lockhart River Primary Health Care Centre","Lockhart River","QLD",4892,143.344146728516,-12.786642074585,"Nurse led clinic","GP",3
"Skye Medical Armadale","Armadale","WA",6112,116.017592571544,-32.1508667520108,"General practice service","GP",18
"Seacliff Healthcare","Thirroul","NSW",2515,150.91872972,-34.31751544,"General practice service","GP",4
"Northmead Medical Centre","Northmead","NSW",2152,150.995651245117,-33.7943153381348,"General practice service","GP",3
"Primary Health Care - Top End","Casuarina","NT",810,130.88366714,-12.37534109,"Aboriginal and Torres Strait Islander health service","GP",11
"Mareeba Hospital - Community And Indigenous Health","Mareeba","QLD",4880,145.42450242,-16.98701486,"Aboriginal and Torres Strait Islander health service","GP",10
"Family Doctor St Ives","St Ives","NSW",2075,151.16214609,-33.72600568,"General practice service","GP",11
"Yalgoo Health Centre - Nursing Post","Yalgoo","WA",6635,116.682922363281,-28.3438682556152,"Nurse led clinic","GP",1
"Maranoa Medical Centre","Roma","QLD",4455,148.786712646484,-26.5706958770752,"General practice service","GP",10
"Carepoint Medical Centre Darwin","Casuarina","NT",810,130.883605957031,-12.3720712661743,"General practice service","GP",11
"Dr Paul Sztolcman","Stanmore","NSW",2048,151.16487121582,-33.8926467895508,"General practice service","GP",3
"Sexual Health Victoria - Cbd Clinic","Melbourne","VIC",3000,144.964172363281,-37.815731048584,"General practice service","GP",57
"Rosewood General Practice","Rosewood","QLD",4340,152.593048095703,-27.6417789459229,"General practice service","GP",3
"Medcirc Young","Young","NSW",2594,148.2922127,-34.31220606,"General practice service","GP",8
